Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nikita Kucherov,20232024,TBL,L,R,81,44,100,144,8,22,1.78,31,91,13,53,0,0,1,6,306,14.4,21:40,50
Nathan MacKinnon,20232024,COL,R,C,82,51,89,140,35,42,1.71,41,92,10,48,0,0,2,9,405,12.6,22:49,46.2
Connor McDavid,20232024,EDM,L,C,76,32,100,132,35,30,1.74,24,87,7,44,1,1,1,5,263,12.2,21:22,51.1
Artemi Panarin,20232024,NYR,R,L,82,49,71,120,18,24,1.46,38,75,11,44,0,1,1,5,303,16.2,20:07,10
David Pastrnak,20232024,BOS,R,R,82,47,63,110,21,47,1.34,35,75,12,35,0,0,0,5,382,12.3,19:56,33.3
Auston Matthews,20232024,TOR,L,C,81,69,38,107,31,20,1.32,51,77,18,29,0,1,3,8,369,18.7,20:58,53.5
Leon Draisaitl,20232024,EDM,L,C,81,41,65,106,26,76,1.31,20,65,21,39,0,2,2,7,217,18.9,20:42,56.9
Mikko Rantanen,20232024,COL,L,R,80,42,62,104,19,50,1.3,28,64,14,40,0,0,0,9,271,15.5,22:54,53.8
J.T. Miller,20232024,VAN,L,C,81,37,66,103,32,58,1.27,25,61,10,40,2,2,2,9,194,19.1,19:29,56.3
William Nylander,20232024,TOR,R,R,82,40,58,98,1,24,1.2,26,59,11,35,3,4,2,7,316,12.7,19:55,47.1
Kirill Kaprizov,20232024,MIN,L,L,75,46,50,96,11,36,1.28,27,55,19,41,0,0,2,8,277,16.6,21:35,0
Sam Reinhart,20232024,FLA,R,C,82,57,37,94,29,31,1.15,25,55,27,34,5,5,3,11,233,24.5,20:18,44.2
Filip Forsberg,20232024,NSH,R,L,82,48,46,94,16,43,1.15,35,62,13,32,0,0,3,11,347,13.8,18:54,50
Sidney Crosby,20232024,PIT,L,C,82,42,52,94,7,40,1.15,32,71,10,23,0,0,0,3,278,15.1,20:05,58.2
Quinn Hughes,20232024,VAN,L,D,82,17,75,92,38,38,1.12,12,54,5,38,0,0,1,2,199,8.5,24:41,--
Brayden Point,20232024,TBL,R,C,81,46,44,90,-16,14,1.11,31,58,15,32,0,0,0,12,227,20.3,20:02,45.7
Cale Makar,20232024,COL,R,D,77,21,69,90,15,16,1.17,13,47,7,39,1,4,0,1,231,9.1,24:46,--
Sebastian Aho,20232024,CAR,L,C,78,36,53,89,34,36,1.14,24,55,11,32,1,2,2,10,216,16.7,19:38,54.1
Elias Pettersson,20232024,VAN,L,C,82,34,55,89,20,12,1.09,21,56,13,31,0,2,2,10,207,16.4,19:39,50.8
Matthew Tkachuk,20232024,FLA,L,L,80,26,62,88,19,88,1.1,19,55,6,32,1,1,0,2,280,9.3,18:38,33.3
Robert Thomas,20232024,STL,R,C,82,26,60,86,9,48,1.05,17,56,8,27,1,3,0,3,170,15.3,20:58,53.1
Mitch Marner,20232024,TOR,R,R,69,26,59,85,21,18,1.23,17,57,8,27,1,1,0,2,158,16.5,21:17,25
Roman Josi,20232024,NSH,L,D,82,23,62,85,12,45,1.04,14,51,9,33,0,1,2,5,268,8.6,24:38,--
Jesper Bratt,20232024,NJD,L,L,82,27,56,83,-6,12,1.01,20,55,7,27,0,1,0,7,248,10.9,19:18,36.4
Evan Bouchard,20232024,EDM,R,D,81,18,64,82,34,32,1.01,10,47,8,35,0,0,2,7,220,8.2,23:00,--
Steven Stamkos,20232024,TBL,R,C,79,40,41,81,-21,34,1.03,21,42,19,39,0,0,0,6,262,15.3,18:14,56
Jason Robertson,20232024,DAL,L,L,82,29,51,80,19,22,0.98,20,52,9,28,0,0,0,4,231,12.6,18:19,--
Aleksander Barkov,20232024,FLA,L,C,73,23,57,80,33,24,1.1,18,49,5,29,0,2,0,4,193,11.9,19:38,57.3
Mathew Barzal,20232024,NYI,R,C,80,23,57,80,-4,34,1,18,55,5,25,0,0,2,4,240,9.6,20:08,43
Zach Hyman,20232024,EDM,R,L,80,54,23,77,36,48,0.96,39,57,15,20,0,0,1,7,290,18.6,19:30,43.8
Nick Suzuki,20232024,MTL,R,C,82,33,44,77,-14,36,0.94,21,46,12,31,0,0,1,1,185,17.8,21:16,52.6
Jake Guentzel,20232024,"PIT,CAR",L,C,67,30,47,77,25,22,1.15,25,55,5,22,0,0,0,2,238,12.6,20:01,26.1
Vincent Trocheck,20232024,NYR,R,C,82,25,52,77,16,55,0.94,13,52,11,24,1,1,1,5,215,11.6,21:27,58.7
Clayton Keller,20232024,ARI,L,R,78,33,43,76,-20,32,0.97,24,46,9,30,0,0,0,4,228,14.5,19:15,46.2
Victor Hedman,20232024,TBL,L,D,78,13,63,76,18,76,0.97,9,45,4,31,0,0,0,2,168,7.7,24:48,--
Chris Kreider,20232024,NYR,L,L,82,39,36,75,19,26,0.91,19,41,18,29,2,5,1,7,246,15.9,18:47,36.5
Nazem Kadri,20232024,CGY,L,C,82,29,46,75,0,43,0.91,19,53,10,22,0,0,2,4,277,10.5,18:26,48.9
Adrian Kempe,20232024,LAK,L,R,77,28,47,75,13,72,0.97,20,44,5,27,3,4,1,4,246,11.4,18:56,23.1
Brandon Hagel,20232024,TBL,L,L,82,26,49,75,1,79,0.91,24,66,2,7,0,2,1,3,184,14.1,19:15,41
Gustav Nyquist,20232024,NSH,L,C,81,23,52,75,7,8,0.93,17,49,5,24,1,2,0,4,153,15,17:45,38.5
Brady Tkachuk,20232024,OTT,L,L,81,37,37,74,1,134,0.91,25,52,12,22,0,0,1,2,357,10.4,19:09,52.6
Jack Hughes,20232024,NJD,L,C,62,27,47,74,-12,12,1.19,18,43,9,31,0,0,2,4,274,9.9,20:58,37.2
Brock Boeser,20232024,VAN,R,R,81,40,33,73,23,14,0.9,24,48,16,25,0,0,1,4,204,19.6,18:36,52
Kevin Fiala,20232024,LAK,L,L,82,29,44,73,1,62,0.89,18,43,11,30,0,0,1,2,225,12.9,18:02,26.3
Adam Fox,20232024,NYR,R,D,72,17,56,73,21,36,1.01,10,38,6,33,1,2,1,5,137,12.4,23:27,--
Carter Verhaeghe,20232024,FLA,L,C,76,34,38,72,17,36,0.95,26,51,8,21,0,0,1,7,246,13.8,17:58,44.1
Lucas Raymond,20232024,DET,R,L,82,31,41,72,-12,30,0.88,25,56,6,16,0,0,3,4,163,19,17:45,40
Mika Zibanejad,20232024,NYR,R,C,81,26,46,72,15,30,0.89,12,35,12,31,2,6,2,3,221,11.8,19:45,49.3
Mark Scheifele,20232024,WPG,R,C,74,25,47,72,19,57,0.97,19,54,6,18,0,0,1,4,154,16.2,20:11,48.1
Anze Kopitar,20232024,LAK,L,C,81,26,44,70,11,22,0.86,16,44,9,23,1,3,0,6,133,19.6,19:39,55.1
Tim Stützle,20232024,OTT,L,C,75,18,52,70,-17,28,0.93,17,50,1,20,0,0,2,2,192,9.4,21:07,46.7
Noah Dobson,20232024,NYI,R,D,79,10,60,70,12,36,0.89,9,45,1,24,0,1,0,4,174,5.8,24:31,--
Jonathan Marchessault,20232024,VGK,R,R,82,42,27,69,-2,40,0.84,34,52,8,17,0,0,2,5,266,15.8,17:54,25
Brock Nelson,20232024,NYI,L,C,82,34,35,69,-5,28,0.84,24,48,9,19,1,2,1,2,250,13.6,18:05,45.2
Dylan Larkin,20232024,DET,L,C,68,33,36,69,5,39,1.01,17,41,14,26,2,2,2,5,221,14.9,20:10,55.4
Matt Boldy,20232024,MIN,L,L,75,29,40,69,5,48,0.92,19,44,10,25,0,0,1,7,227,12.8,18:55,42.1
Ryan O'Reilly,20232024,NSH,L,C,82,26,43,69,6,18,0.84,12,41,14,28,0,0,0,1,180,14.4,19:46,53.9
Josh Morrissey,20232024,WPG,L,D,81,10,59,69,34,44,0.85,8,50,2,19,0,0,0,1,196,5.1,24:11,--
Bo Horvat,20232024,NYI,L,C,81,33,35,68,-1,39,0.84,22,48,10,18,1,2,3,6,248,13.3,19:42,53.9
Travis Konecny,20232024,PHI,R,R,76,33,35,68,4,67,0.89,23,52,4,9,6,7,0,5,244,13.5,19:50,40.2
Jack Eichel,20232024,VGK,R,C,63,31,37,68,4,27,1.08,20,44,11,22,0,2,2,7,278,11.2,20:31,45.5
Seth Jarvis,20232024,CAR,R,C,81,33,34,67,23,14,0.83,18,44,13,20,2,3,1,9,176,18.8,18:45,44.6
Jordan Kyrou,20232024,STL,R,C,82,31,36,67,-12,22,0.82,23,46,8,21,0,0,0,4,251,12.4,18:20,33.3
Brad Marchand,20232024,BOS,L,L,82,29,38,67,2,78,0.82,19,37,7,26,3,4,2,6,207,14,19:06,43.6
Joe Pavelski,20232024,DAL,R,C,82,27,40,67,12,20,0.82,16,46,11,21,0,0,1,4,194,13.9,16:49,51.1
Evgeni Malkin,20232024,PIT,L,C,82,27,40,67,5,70,0.82,21,49,6,18,0,0,0,2,199,13.6,18:35,48.6
Dylan Strome,20232024,WSH,L,C,82,27,40,67,-13,22,0.82,21,45,6,22,0,0,3,5,169,16,17:57,52.8
Alex DeBrincat,20232024,DET,R,R,82,27,40,67,1,34,0.82,16,48,11,19,0,0,0,1,237,11.4,17:54,42.1
Nico Hischier,20232024,NJD,L,C,71,27,40,67,-5,12,0.94,20,49,6,17,1,1,0,4,182,14.8,19:29,56.6
Ryan Nugent-Hopkins,20232024,EDM,L,C,80,18,49,67,10,36,0.84,14,38,4,26,0,3,0,3,183,9.8,19:37,48
Drake Batherson,20232024,OTT,R,R,82,28,38,66,-9,42,0.8,21,44,7,22,0,0,1,4,196,14.3,18:10,40.9
Wyatt Johnston,20232024,DAL,R,C,82,32,33,65,14,38,0.79,26,52,3,10,3,3,0,3,216,14.8,17:00,50.2
Alex Ovechkin,20232024,WSH,R,L,79,31,34,65,-22,20,0.82,18,37,13,28,0,0,1,5,272,11.4,19:13,0
Roope Hintz,20232024,DAL,L,C,80,30,35,65,26,22,0.81,19,42,8,19,3,4,2,6,182,16.5,17:14,56.2
John Tavares,20232024,TOR,L,C,80,29,36,65,2,30,0.81,20,45,9,20,0,0,1,6,279,10.4,17:52,59.3
Cole Caufield,20232024,MTL,R,R,82,28,37,65,-4,16,0.79,19,44,9,21,0,0,3,7,314,8.9,19:25,43.8
Matt Duchene,20232024,DAL,L,C,80,25,40,65,15,20,0.81,19,49,6,16,0,0,2,7,172,14.5,16:46,56.5
Joel Eriksson Ek,20232024,MIN,L,C,77,30,34,64,18,60,0.83,17,42,12,21,1,1,0,5,267,11.2,20:32,49.7
Claude Giroux,20232024,OTT,R,R,82,21,43,64,-14,26,0.78,16,42,3,19,2,3,1,2,183,11.5,20:06,58
Pavel Buchnevich,20232024,STL,L,L,80,27,36,63,3,48,0.79,17,42,8,18,2,3,2,5,207,13,19:49,37.4
Mats Zuccarello,20232024,MIN,L,R,69,12,51,63,-5,30,0.91,7,30,5,33,0,0,0,1,173,6.9,18:54,37.5
Jared McCann,20232024,SEA,L,L,80,29,33,62,-10,31,0.78,18,37,9,23,2,2,1,3,216,13.4,16:46,47.9
Mike Matheson,20232024,MTL,L,D,82,11,51,62,-24,58,0.76,4,32,5,28,2,2,0,0,187,5.9,25:33,--
Kyle Connor,20232024,WPG,L,L,65,34,27,61,-6,6,0.94,29,42,5,19,0,0,3,10,221,15.4,19:43,28.6
Nikolaj Ehlers,20232024,WPG,L,L,82,25,36,61,27,29,0.74,25,54,0,7,0,0,1,7,233,10.7,15:52,26.7
Nick Schmaltz,20232024,ARI,R,C,79,22,39,61,-16,10,0.77,11,39,10,21,1,1,1,3,158,13.9,19:11,41
Connor Bedard,20232024,CHI,R,C,68,22,39,61,-44,28,0.9,18,40,4,21,0,0,1,2,206,10.7,19:47,38.9
Frank Vatrano,20232024,ANA,L,R,82,37,23,60,-20,85,0.73,21,36,13,20,3,4,2,7,272,13.6,18:21,33.3
William Karlsson,20232024,VGK,L,C,70,30,30,60,15,22,0.86,22,43,7,15,1,2,0,2,175,17.1,17:36,56.2
Charlie Coyle,20232024,BOS,R,C,82,25,35,60,-2,38,0.73,17,44,7,11,1,5,0,5,147,17,18:04,51.6
Jamie Benn,20232024,DAL,L,L,82,21,39,60,8,41,0.73,13,35,7,22,1,3,0,3,164,12.8,15:07,61.2
Mikael Granlund,20232024,SJS,L,C,69,12,48,60,-23,32,0.87,11,36,1,23,0,1,1,1,134,9,20:58,46.8
Johnny Gaudreau,20232024,CBJ,L,L,81,12,48,60,-27,22,0.74,11,42,1,18,0,0,1,3,160,7.5,18:49,0
Yegor Sharangovich,20232024,CGY,L,C,82,31,28,59,-29,8,0.72,22,35,6,17,3,7,1,4,179,17.3,17:19,39
Sean Monahan,20232024,"MTL,WPG",L,C,83,26,33,59,-1,12,0.71,15,36,9,21,2,2,0,5,171,15.2,18:06,54.9
Alex Tuch,20232024,BUF,R,R,75,22,37,59,9,54,0.79,19,47,2,11,1,1,0,7,192,11.5,19:30,40
Pavel Zacha,20232024,BOS,L,C,78,21,38,59,12,18,0.76,15,44,6,15,0,0,1,6,148,14.2,18:06,54.8
Oliver Bjorkstrand,20232024,SEA,R,R,82,20,39,59,-20,12,0.72,12,34,8,25,0,0,0,3,186,10.8,16:11,32.1
Rasmus Dahlin,20232024,BUF,L,D,81,20,39,59,-3,66,0.73,14,39,6,20,0,0,1,2,235,8.5,25:25,--
Morgan Rielly,20232024,TOR,L,D,72,7,51,58,7,27,0.81,6,38,1,20,0,0,0,0,173,4.1,23:44,--
Trevor Moore,20232024,LAK,L,L,82,31,26,57,11,28,0.7,27,48,2,7,2,2,0,5,244,12.7,17:59,29.2
Alexis Lafrenière,20232024,NYR,L,L,82,28,29,57,2,40,0.7,26,51,2,6,0,0,1,5,217,12.9,17:16,25.8
Casey Mittelstadt,20232024,"BUF,COL",L,C,80,18,39,57,10,32,0.71,15,48,3,9,0,0,0,1,127,14.2,17:44,47.1
Matias Maccelli,20232024,ARI,L,L,82,17,40,57,-4,8,0.7,15,44,2,12,0,1,1,2,149,11.4,16:14,37.5
Zach Werenski,20232024,CBJ,L,D,70,11,46,57,0,22,0.81,9,45,2,12,0,0,0,0,202,5.5,24:27,--
Tage Thompson,20232024,BUF,R,C,71,29,27,56,-1,43,0.79,18,38,9,16,2,2,0,3,246,11.8,18:07,43.3
Bryan Rust,20232024,PIT,R,R,62,28,28,56,10,20,0.9,24,46,3,9,1,1,1,3,196,14.3,19:35,25
Jonathan Drouin,20232024,COL,L,L,79,19,37,56,12,28,0.71,14,37,5,19,0,0,1,2,127,15,18:11,51.8
Erik Karlsson,20232024,PIT,R,D,82,11,45,56,4,44,0.68,9,39,2,17,0,0,2,4,213,5.2,24:16,--
Shayne Gostisbehere,20232024,DET,L,D,81,10,46,56,-16,16,0.69,8,27,2,29,0,0,0,2,139,7.2,19:05,--
Tyler Toffoli,20232024,"NJD,WPG",R,C,79,33,22,55,-6,14,0.7,22,37,11,18,0,0,1,4,229,14.4,16:58,38
Vladimir Tarasenko,20232024,"OTT,FLA",L,R,76,23,32,55,13,12,0.72,20,46,3,9,0,0,0,5,155,14.8,15:44,57.1
Quinton Byfield,20232024,LAK,L,R,80,20,35,55,19,42,0.69,14,41,6,14,0,0,0,4,161,12.4,16:29,45.6
Michael Bunting,20232024,"CAR,PIT",L,L,81,19,36,55,-19,57,0.68,12,34,7,21,0,0,0,3,168,11.3,15:41,30.4
Kyle Palmieri,20232024,NYI,R,C,82,30,24,54,-16,26,0.66,20,34,10,20,0,0,1,8,218,13.8,17:13,38.2
Blake Coleman,20232024,CGY,L,C,78,30,24,54,19,76,0.69,23,45,3,3,4,6,0,7,191,15.7,17:08,44.9
Troy Terry,20232024,ANA,R,R,76,20,34,54,-10,24,0.71,16,41,4,13,0,0,1,5,172,11.6,18:17,33.3
Philipp Kurashev,20232024,CHI,L,C,75,18,36,54,-44,23,0.72,12,35,6,19,0,0,1,3,128,14.1,19:01,46.4
Miro Heiskanen,20232024,DAL,L,D,71,9,45,54,8,36,0.76,7,33,2,21,0,0,0,2,162,5.6,24:32,--
Valeri Nichushkin,20232024,COL,L,R,54,28,25,53,5,22,0.98,12,30,16,21,0,2,2,6,158,17.7,21:21,28.6
Owen Tippett,20232024,PHI,R,R,78,28,25,53,-5,12,0.68,23,45,5,8,0,0,1,4,289,9.7,16:35,42.2
Teuvo Teravainen,20232024,CAR,L,C,76,25,28,53,15,10,0.7,15,32,9,17,1,4,0,4,142,17.6,16:24,47.1
Martin Necas,20232024,CAR,R,C,77,24,29,53,-9,42,0.69,16,40,8,13,0,0,2,3,231,10.4,17:21,34.1
Mason Marchment,20232024,DAL,L,L,81,22,31,53,22,54,0.65,16,42,6,11,0,0,0,3,150,14.7,15:04,44.4
Mark Stone,20232024,VGK,R,R,56,16,37,53,1,22,0.95,10,35,4,14,2,4,1,5,117,13.7,19:24,0
Timo Meier,20232024,NJD,L,R,69,28,24,52,-28,45,0.75,18,35,10,17,0,0,1,4,207,13.5,17:36,48.9
Tyler Seguin,20232024,DAL,R,C,68,25,27,52,10,26,0.76,22,42,3,8,0,2,0,3,154,16.2,16:33,56.3
MacKenzie Weegar,20232024,CGY,R,D,82,20,32,52,2,51,0.63,17,35,3,15,0,2,1,2,208,9.6,22:56,--
Andrei Svechnikov,20232024,CAR,L,R,59,19,33,52,13,58,0.88,14,35,5,17,0,0,0,8,144,13.2,16:59,50
Jonathan Huberdeau,20232024,CGY,L,C,81,12,40,52,-29,49,0.64,8,33,4,19,0,0,0,2,143,8.4,17:25,48.4
John Carlson,20232024,WSH,R,D,82,10,42,52,-7,40,0.63,4,31,6,21,0,0,0,5,176,5.7,25:54,--
Adam Henrique,20232024,"ANA,EDM",L,C,82,24,27,51,9,37,0.62,17,36,5,10,2,5,0,4,140,17.1,16:51,53.3
Chandler Stephenson,20232024,VGK,L,C,75,16,35,51,-9,25,0.68,10,35,4,13,2,3,0,4,97,16.5,18:29,52.6
Kris Letang,20232024,PIT,R,D,82,10,41,51,13,62,0.62,10,45,0,5,0,1,0,2,164,6.1,24:41,--
JJ Peterka,20232024,BUF,L,R,82,28,22,50,10,28,0.61,25,43,3,7,0,0,0,5,226,12.4,16:24,20
Joel Farabee,20232024,PHI,L,L,82,22,28,50,-13,37,0.61,20,43,2,7,0,0,1,2,182,12.1,16:11,37.5
Juraj Slafkovsky,20232024,MTL,L,L,82,20,30,50,-19,55,0.61,14,36,6,14,0,0,0,2,152,13.2,17:56,50
Drew Doughty,20232024,LAK,R,D,82,15,35,50,15,44,0.61,8,30,7,20,0,0,1,3,135,11.1,25:48,--
Devon Toews,20232024,COL,L,D,82,12,38,50,28,18,0.61,12,43,0,5,0,2,0,2,159,7.6,23:26,--
J.T. Compher,20232024,DET,R,L,77,19,29,48,-5,34,0.62,12,36,5,10,2,2,0,0,108,17.6,19:23,44.8
Filip Hronek,20232024,VAN,R,D,81,5,43,48,33,38,0.59,3,37,2,11,0,0,0,0,148,3.4,23:26,--
Patrick Kane,20232024,DET,L,R,50,20,27,47,-5,16,0.94,18,32,2,15,0,0,3,7,147,13.6,18:23,--
Conor Garland,20232024,VAN,R,R,82,20,27,47,19,35,0.57,19,42,1,5,0,0,0,3,200,10,14:32,20
Dylan Cozens,20232024,BUF,R,C,79,18,29,47,-4,42,0.59,13,34,2,10,3,3,1,1,200,9,17:14,45.6
David Perron,20232024,DET,R,L,76,17,30,47,-12,55,0.62,10,30,7,17,0,0,0,4,151,11.3,15:38,47.1
Phillip Danault,20232024,LAK,L,C,78,17,30,47,12,18,0.6,14,36,3,9,0,2,0,2,159,10.7,18:01,51.9
Thomas Harley,20232024,DAL,L,D,79,15,32,47,28,18,0.59,13,37,1,9,1,1,3,3,144,10.4,21:01,--
Brady Skjei,20232024,CAR,L,D,80,13,34,47,15,40,0.59,11,31,1,12,1,4,0,2,185,7,21:17,--
Noah Hanifin,20232024,"CGY,VGK",L,D,80,13,34,47,19,24,0.59,8,32,5,13,0,2,0,2,164,7.9,23:37,--
Charlie McAvoy,20232024,BOS,R,D,74,12,35,47,4,86,0.64,11,34,1,13,0,0,2,3,133,9,24:51,--
Max Domi,20232024,TOR,L,C,80,9,38,47,10,118,0.59,8,45,1,2,0,0,0,1,137,6.6,13:47,50
Luke Hughes,20232024,NJD,L,D,82,9,38,47,-25,28,0.57,5,22,4,25,0,0,1,1,135,6.7,21:28,--
Brock Faber,20232024,MIN,R,D,82,8,39,47,-1,26,0.57,5,31,3,16,0,0,0,1,136,5.9,24:58,--
Jeff Skinner,20232024,BUF,L,C,74,24,22,46,-2,34,0.62,16,34,8,12,0,0,1,3,211,11.4,16:00,41.9
Nicholas Paul,20232024,TBL,L,L,82,24,22,46,-16,27,0.56,15,32,9,14,0,0,0,2,153,15.7,17:16,54.3
Andrei Kuzmenko,20232024,"VAN,CGY",R,L,72,22,24,46,-9,12,0.64,14,27,8,19,0,0,1,4,121,18.2,14:53,100
Brayden Schenn,20232024,STL,L,C,82,20,26,46,-22,56,0.56,15,33,4,12,1,1,2,3,170,11.8,17:47,49.4
Vince Dunn,20232024,SEA,L,D,59,11,35,46,8,78,0.78,7,29,4,16,0,1,0,0,120,9.2,23:05,--
Nick Bjugstad,20232024,ARI,R,C,76,22,23,45,11,59,0.59,19,38,2,6,1,1,1,2,165,13.3,17:27,49.2
Ryan Hartman,20232024,MIN,R,R,74,21,24,45,4,72,0.61,16,35,5,10,0,0,0,3,173,12.1,16:31,47
Anthony Cirelli,20232024,TBL,L,C,79,20,25,45,2,38,0.57,15,36,3,7,2,2,1,3,129,15.5,18:31,49.2
Ivan Barbashev,20232024,VGK,L,C,82,19,26,45,15,42,0.55,16,40,3,5,0,0,0,3,122,15.6,16:07,42.5
Tommy Novak,20232024,NSH,L,C,71,18,27,45,-3,8,0.63,12,33,6,12,0,0,0,1,113,15.9,14:12,42.2
William Eklund,20232024,SJS,L,L,80,16,29,45,-45,30,0.56,8,28,8,16,0,1,2,5,128,12.5,18:40,31.3
Alex Kerfoot,20232024,ARI,L,C,82,13,32,45,-15,26,0.55,9,30,2,12,2,3,0,3,103,12.6,17:26,47.8
Mattias Ekholm,20232024,EDM,L,D,79,11,34,45,44,47,0.57,8,41,2,3,1,1,0,3,177,6.2,21:03,--
Evander Kane,20232024,EDM,L,L,77,24,20,44,-4,85,0.57,21,36,2,7,1,1,1,3,220,10.9,16:47,48
Fabian Zetterlund,20232024,SJS,R,L,82,24,20,44,-34,33,0.54,17,27,6,16,1,1,0,0,204,11.8,18:51,32.9
Anthony Mantha,20232024,"WSH,VGK",L,R,74,23,21,44,11,25,0.59,20,36,3,8,0,0,0,0,113,20.4,14:13,27.3
Logan Cooley,20232024,ARI,L,C,82,20,24,44,-13,18,0.54,16,30,3,13,1,1,1,2,151,13.3,15:49,38
Jordan Eberle,20232024,SEA,R,R,78,17,27,44,1,17,0.56,11,32,6,12,0,0,1,3,168,10.1,17:27,42.5
